manufacturer,substation_id,window_start,window_end,label,fault_label,fault_event_id,m1_specialist_model_scope,m1_specialist_compact_window_start,m1_specialist_compact_window_end,m1_specialist_sample_count,m1_specialist_expected_count,m1_specialist_coverage_rate,m1_specialist_fault_probability,m1_specialist_task_probability,m1_specialist_activity_probability,m1_specialist_pre_event_probability,m1_specialist_fault_prediction,m1_specialist_task_prediction,m1_specialist_activity_prediction,m1_specialist_pre_event_prediction,m1_specialist_primary_state,m1_specialist_secondary_tags,m1_specialist_fault_group,m1_specialist_group_weight,m1_specialist_leadtime_urgency,m1_specialist_priority_score,m1_specialist_gate_review_required,m1_specialist_gate_review_reasons
manufacturer 1,1,2019-12-01 00:00:00,2019-12-01 06:00:00,normal,,,m1_runtime_model,2019-11-24 06:00:00,2019-12-01 06:00:00,1008,1008,1,0.790179662607,0.081484633174,0.0416549485081,0.922432066832,1,0,0,1,fault,,unknown_review,0.1,0.832919756397,77.2213563677,False,
manufacturer 1,1,2019-12-01 06:00:00,2019-12-01 12:00:00,normal,,,m1_runtime_model,2019-11-24 12:00:00,2019-12-01 12:00:00,1008,1008,1,0.786676704163,0.0526352146106,0.0219713270987,0.924381478102,1,0,0,1,fault,,unknown_review,0.1,0.82316620885,77.0359675611,False,
manufacturer 1,1,2019-12-01 18:00:00,2019-12-02 00:00:00,normal,,,m1_runtime_model,2019-11-25 00:00:00,2019-12-02 00:00:00,1008,1008,1,0.810644451642,0.0462249582003,0.0190824382098,0.560724383413,1,0,0,0,fault,,unknown_review,0.1,0.815273209748,56.7980373802,False,
manufacturer 1,1,2019-12-02 12:00:00,2019-12-02 18:00:00,normal,,,m1_runtime_model,2019-11-25 18:00:00,2019-12-02 18:00:00,1008,1008,1,0.79573529891,0.107756404109,0.0679482803099,0.681628742704,1,0,0,1,fault,,unknown_review,0.1,0.69890437161,59.956711997,False,
manufacturer 1,1,2019-12-02 18:00:00,2019-12-03 00:00:00,normal,,,m1_runtime_model,2019-11-26 00:00:00,2019-12-03 00:00:00,1008,1008,1,0.502050600579,0.0741851136142,0.0496913808021,0.111824587629,1,0,0,0,fault,,unknown_review,0.1,0.853330606665,33.2502705196,True,m1_specialist_gate_near_threshold
manufacturer 1,1,2019-12-03 00:00:00,2019-12-03 06:00:00,normal,,,m1_runtime_model,2019-11-26 06:00:00,2019-12-03 06:00:00,1008,1008,1,0.763999714301,0.0815959963139,0.0437638445702,0.93585863142,1,0,0,1,fault,,unknown_review,0.1,0.859866691003,78.7682254582,False,
manufacturer 1,1,2019-12-03 06:00:00,2019-12-03 12:00:00,normal,,,m1_runtime_model,2019-11-26 12:00:00,2019-12-03 12:00:00,1008,1008,1,0.816339665676,0.0946832582312,0.0527284910349,0.951996785324,1,0,0,1,fault,,unknown_review,0.1,0.979110292466,83.2331319668,False,
manufacturer 1,1,2019-12-03 12:00:00,2019-12-03 18:00:00,normal,,,m1_runtime_model,2019-11-26 18:00:00,2019-12-03 18:00:00,1008,1008,1,0.882013971545,0.11742545856,0.0487638445702,0.77627065169,1,0,0,1,fault,,unknown_review,0.1,0.996640987915,74.0941154804,False,
manufacturer 1,1,2019-12-04 00:00:00,2019-12-04 06:00:00,normal,,,m1_runtime_model,2019-11-27 06:00:00,2019-12-04 06:00:00,1008,1008,1,0.810028253774,0.135707496156,0.0855618757092,0.730528320328,1,0,0,1,fault,,unknown_review,0.1,0.948431652519,70.1320071936,False,
manufacturer 1,1,2019-12-04 06:00:00,2019-12-04 12:00:00,normal,,,m1_runtime_model,2019-11-27 12:00:00,2019-12-04 12:00:00,1008,1008,1,0.804756487937,0.117994778774,0.0568317195294,0.874723609624,1,0,0,1,fault,,unknown_review,0.1,0.865377413697,75.5711209403,False,
manufacturer 1,1,2019-12-04 12:00:00,2019-12-04 18:00:00,normal,,,m1_runtime_model,2019-11-27 18:00:00,2019-12-04 18:00:00,1008,1008,1,0.645046135057,0.136946155057,0.0692061522625,0.616380135606,1,0,0,1,fault,,unknown_review,0.1,0.914694871272,62.8417535965,False,
manufacturer 1,1,2019-12-04 18:00:00,2019-12-05 00:00:00,normal,,,m1_runtime_model,2019-11-28 00:00:00,2019-12-05 00:00:00,1008,1008,1,0.616507616054,0.0919788347951,0.0461249556813,0.427002374923,1,0,0,0,fault,,unknown_review,0.1,0.961916490823,53.8426253455,False,
manufacturer 1,1,2019-12-05 06:00:00,2019-12-05 12:00:00,normal,,,m1_runtime_model,2019-11-28 12:00:00,2019-12-05 12:00:00,1008,1008,1,0.665435618802,0.130922894569,0.0847317916795,0.864291372883,1,0,0,1,fault,,unknown_review,0.1,0.858781749315,74.799477988,False,
